deal,description,,,,,,,,,,,,,,,,
TRUE,"If you don't like to swallow pills, you may feel like there aren't any wellness supplements out there for you. Marz Sprays came up with a solution. Their supplements are designed and packaged as oral sprays. Just a spritz in your mouth and you're good to go. Marz Sprays has five different sprays on offer: ReBoot, Restorative, C-Spray, Slim, and Juicy. C-Spray is their top-seller, a blend of Vitamin C, Vitamin B-12, Vitamin D, Echinacea and other ingredients chosen to boost the immune system. There are Marz Sprays to cover just about anything you might want out of a supplement. Sleep Spray helps you relax and have a restful slumber. ReBoot wakes you up with caffeine. Slim is formulated to help with weight loss. Meanwhile, Juicy is a more general multi-vitamin supplement that's designed to take in small, multiple doses throughout the day.",,,,,,,,,,,,,,,,
FALSE,"An energy drink made in the form of a waffle, featuring as much caffeine as a 20-oz cup of coffee.",,,,,,,,,,,,,,,,
FALSE,"Mother Nature does it again! Eco Nuts is all-natural laundry detergent that grows on trees. Related to the lychee, soapnuts (also called soapberries) naturally produce a mild surfactant that can be used for laundering clothes. Used for thousands of years by people in Asia, where these shrubs and small trees are common, you can now purchase your own soapnuts for your own laundry! From Eco Nuts, you can purchase these soapberries ready to use, de-seeded and sterilized with no added chemicals. To use them, just toss a few Eco Nuts into the wash with your clothes, and let them do their work. Eco Nuts are certified USDA organic and reusable.",,,,,,,,,,,,,,,,
TRUE,Protein-infused flavored water.,,,,,,,,,,,,,,,,
TRUE,"A lobster roll food truck run by two cousins originally from Maine, operating in Southern California.",,,,,,,,,,,,,,,,
FALSE,"Stretchy, creative beverage cozies.",,,,,,,,,,,,,,,,
FALSE,A modern take on the slip.,,,,,,,,,,,,,,,,
TRUE,"Possibly the most successful product in Shark Tank history, Scrub Daddy is a smiley sponge that packs real cleaning power. Dip in warm water to make Scrub Daddy soft and squishy, or run cold water over it to make it firm for those tasks that require a more muscle. Safe on non-stick cookware, china, wood, stainless steel, and counter tops, Scrub Daddy is your go-to sponge for cleaning. Its round shape makes it ergonomically friendly for those times you have to clean the inside of a bottle or container, while the Scrub Daddy smile is also a wonderful tool for easily cleaning spoons and spatulas.",,,,,,,,,,,,,,,,
FALSE,An ice cream treat that is safe for dogs.,,,,,,,,,,,,,,,,
TRUE,"Focus Designs is the maker of the self-balancing unicycle, or the SBU for short. The SBU is a battery-powered unicycle with built-in sensors that keep the rider balanced and moving forward with no need for pedaling. The rider controls the SBU with just their natural leaning motions, and according to the company, it takes only about 20-30 minutes to learn. The SBU is strong yet lightweight, supporting over 300 lbs. on its mere 27-pound frame and accelerating to 10mph in just 3 seconds. The SBU reaches a max speed of 12.5 mph and can take hills of up to a 30% grade.",,,,,,,,,,,,,,,,
TRUE,A plastic lid that can turn any plate into an airtight container for food storage.,,,,,,,,,,,,,,,,
FALSE,"The No Fly Cone is designed to be placed over dog, horse and cattle feces to trap flies. It is non-toxic and doesn't require any added attractant.",,,,,,,,,,,,,,,,
TRUE,"Cool Wazoo is a cover that redirects heat back to its source while serving five different functions. It can be a swing cover, high chair cover, shopping cart cover, car shade and a changing pad.",,,,,,,,,,,,,,,,
FALSE,"General computer proficiency classes taught remotely online, instead of in a classroom or home setting.",,,,,,,,,,,,,,,,
FALSE,A search engine for real estate.,,,,,,,,,,,,,,,,
TRUE,"Ice Chips are sugar-free hard candy sweetened with Xylitol and smashed to bits into its distinctive ""ice chips"" shape. The business is run by two enterprising friends, Bev Vines-Haines and Charlotte Clary, who over their years of friendship have worked on a tons of ideas and projects until finally coming across Ice Chips. These two grandmothers have 37 grandchildren between them and wanted to make a candy that was healthy yet tasted good enough that their brood would like it too.",,,,,,,,,,,,,,,,
TRUE,Costumes that instantaneously transform the wearer from a human into a motorized vehicle.,,,,,,,,,,,,,,,,
FALSE,A subscription service for neckwear.,,,,,,,,,,,,,,,,
TRUE,Caffeine-free nutrition shot designed and tested by special ops forces.,,,,,,,,,,,,,,,,
FALSE,An online boutique where brides can buy and resell used wedding dresses.,,,,,,,,,,,,,,,,
FALSE,An atmospheric dinner and drinks cruise.,,,,,,,,,,,,,,,,
FALSE,A nightlife fashion accessory that replaces a handbag by allowing the wearer to carry her essentials around her leg instead.,,,,,,,,,,,,,,,,
TRUE,"A company that rents live, potted Christmas trees as an eco-friendly and good-spirited alternative to cut trees.",,,,,,,,,,,,,,,,
FALSE,Lactose-free fudge treats made from goat's milk.,,,,,,,,,,,,,,,,
TRUE,A kid-friendly cappuccino bar that both parents and children can enjoy.,,,,,,,,,,,,,,,,
TRUE,"Prepackaged, peel-off face paint in a wide variety of designs.",,,,,,,,,,,,,,,,
TRUE,Professional-quality hair care products for children without harsh chemicals.,,,,,,,,,,,,,,,,
FALSE,Arkeg is an arcade game with a beer keg built into its side.,,,,,,,,,,,,,,,,
FALSE,"A tabletop food screen that protects food from outdoors pests, featuring a Velcro-fastened door allowing easy access for people.",,,,,,,,,,,,,,,,
TRUE,A washer and dryer bag specifically designed to protect children's beloved stuffed animals from damage in the wash.,,,,,,,,,,,,,,,,
TRUE,"Urbio is an innovative modular solution for urban gardening and small space organization. Made with light-weight and durable polypropylene plastic and neodymium magnets, Urbio is a recyclable product available in a variety of vessel sizes.",,,,,,,,,,,,,,,,
FALSE,A chain of ice cream shops where the ice cream is made to-order using liquid nitrogen for rapid freezing.,,,,,,,,,,,,,,,,
TRUE,"Coffee Joulies are an inventive new way to keep your coffee at its ideal temperature for hours. Simply drop the silver-colored ""beans"" into your coffee and they will absorb heat when it is too hot, and later release this heat as your drink cools off. Coffee Joulies get your coffee ready to drink (without burning your tongue) sooner and keep it comfortably hot for over five hours. Coffee Joulies use a non-toxic proprietary ""phase change material"" that is encased in foodsafe stainless steel shells. The material absorbs heat above 140 degrees Fahrenheit and releases heat below that threshold. The set of Coffee Joulies includes five Joulies and a carrying pouch.",,,,,,,,,,,,,,,,
FALSE,"Kids can listen to voice recordings from a loved one through this teddy bear, which is equipped to receive the recordings remotely from the sender.",,,,,,,,,,,,,,,,
TRUE,"A magnetic, power-free sound amplifier for the iPad.",,,,,,,,,,,,,,,,
FALSE,Bibs designed for better coverage and made with a patented fabric that stays stain-free.,,,,,,,,,,,,,,,,
FALSE,Sandals designed to be biomechanically identical to being barefoot while still adding a layer of protection.,,,,,,,,,,,,,,,,
FALSE,A beverage holder that keeps drinks cold.,,,,,,,,,,,,,,,,
TRUE,"Grinds, or Grinds Coffee Pouches, are small pouches of flavored coffee. Grinds is a tobacco- and nicotine-free product.",,,,,,,,,,,,,,,,
TRUE,A pillowcase with a built-in hood for added coziness. Also available as an inflatable travel pillow.,,,,,,,,,,,,,,,,
FALSE,An eco-friendly and functional reusable garment bag that doubles as a hamper.,,,,,,,,,,,,,,,,
TRUE,A chain of quick-service establishments selling quality made-to-order sushi rolls.,,,,,,,,,,,,,,,,
TRUE,"A device for reducing distrated driving behaviors, Smartwheel is built into a vehicle's steering wheel and alerts drivers when they engage in unsafe driving positions.",,,,,,,,,,,,,,,,
FALSE,An online portal providing mental health services geared towards women. Pretty Padded Room connects clients with licensed female therapists via video chats or digital diaries for a fraction of the price paid for in-person therapy sessions.,,,,,,,,,,,,,,,,
FALSE,"Gotta Have S'more marries muffins with s'mores to make the utterly irresistible s'muffin. The classic camping snack has grown up into a classy and self-contained treat, but just as delectable as always. Although it's more buttoned-up, the s'muffin is still made up of the traditional s'more building blocks: graham cracker, toasted marshmallow, and chocolate. The company doesn't mess around with creative flavors, and that's for the best, because we don't see why you'd want to mess with perfection. If you want to mix things up though, they will make you specialized s'muffins decorated to suit your occassion, whether it's a corporate event, a wedding, or something else altogether. S'muffins are sold on the company's online store and are also available at Williams-Sonoma.",,,,,,,,,,,,,,,,
FALSE,A new line of denim designed to enhance the figure and minimize fashion faux pas.,,,,,,,,,,,,,,,,
FALSE,"Hunting apparel made with a new, specially-designed type of camouflage pattern.",,,,,,,,,,,,,,,,
FALSE,Hand-crafted eyewear made from sustainable wood.,,,,,,,,,,,,,,,,
FALSE,"Addison's Wonderland makes enchanting bedding and decor for nurseries and children's rooms. Made in the USA, Addison's Wonderland sells a full line of furnishings including duvet covers, upholstered headboards and window treatments.",,,,,,,,,,,,,,,,
FALSE,"PSI Bands apply gentle accupressure to the wearer's wrists, focusing on Nei-Guan acupressure points believed to provide relief from nausea. The company recommends its bracelets for nausea resulting from causes such as motion sickness or pregnancy. Available in several colors and sold in pairs (one for each wrist), PSI bands are adjustable and waterproof.",,,,,,,,,,,,,,,,
FALSE,"A device for affordable at-home tattoo removal through a process that does not break the surface of the skin, called Black Magic IPL.",,,,,,,,,,,,,,,,
TRUE,"Nuts 'N More is a line of high-protein nut butters, fortified with whey isolate protein and flaxseed and never with added sugars. Choose from peanut butter, almond butter, and even sesame butter, plain or blended into delicious and unexpected flavor combinations, including Toffee Crunch, Chocolate, and Pumpkin Spice. Each serving of Nuts 'N More butters contains over 10g of protein along with healthy Omega-3 oils, plenty of dietary fiber, and low amounts of net carbs. While most other nut butters on the market--even the more savory ones--tend to be sweetened with sugar, Nuts 'N More instead adds xylitol.",,,,,,,,,,,,,,,,
TRUE,A line of shoes that can be continually transformed and updated through interchangeable parts.,,,,,,,,,,,,,,,,
FALSE,A brand of accessories to protect electronic devices with an additional safety net. The accessories all include insurance in case the device still suffers damage even while outfitted with Cellhelmet.,,,,,,,,,,,,,,,,
FALSE,Baby Loves Disco throws parties that kids and parents can enjoy out of their custom-fitted disco van.,,,,,,,,,,,,,,,,
TRUE,A training program featuring the full-body Rodeo Abs machine and a software package that calculates your ideal heart rate for working out most efficiently.,,,,,,,,,,,,,,,,
TRUE,A versatile and comfortable beanbag chair that unzips into a bed.,,,,,,,,,,,,,,,,
TRUE,"Drop Stop offers 100% coverage of the dreaded ""carmuter triangle"", that space in your car where your belongings and stray debris go to disappear. Of course, the ""carmuter triangle"" refers to the gap between your seat and the center console. The patented Drop Stop has a built-in slot that attaches it to the seat belt catch and keeps it securely in place, assuring full coverage of that gap even if you move your seat. Made with a high grade neoprene casing, DropStop expands or compresses to fit according to the shape of your car's seats and center console, making it a universal fit for all cars and trucks.",,,,,,,,,,,,,,,,
TRUE,"Coolwraps offers an easier and frankly, much cooler, way to get your presents wrapped speedily and professionally. Your gift goes into one of these easy-to-use shrink wrap bags, then you shrink-seal them with any household hair dryer. Available in three patterns--Celebration, Balloons, and Hearts--you can choose the one that best suits the occasion. Each Coolwraps package contains nine shrink wrap gift bags with three of each size: small, medium, and large. Coolwraps come in handy for any shape of gift, but it's especially genius when it comes to irregularly shaped presents like stuffed animals or home accessories.",,,,,,,,,,,,,,,,
TRUE,"Simple Sugars is a line of all-natural skincare products for sensitive skin. Made by a young entrepreneur who has first-hand experience with sensitive skin, Simple Sugars is formulated with sugar as the primary exfoliant and blended with noncomedogenic oils and botanicals to make effective yet gentle products that anyone can safely use.",,,,,,,,,,,,,,,,
FALSE,"Traditional Fisheries is the only commercial supplier of lionfish. The company's system of harvesting lionfish yields ample supply and reduces the lionfish population, which is an added benefit because this invasive species is crowing out other varieties of fish in many areas. Lionfish are currently at no risk of over-fishing; completely the contrary, actually. For this reason, it's a fantastic choice of seafood for those seeking to consume fish sustainable. Every lionfish you eat saves a number of more endangered fish from being harvested and/or crowded out of their natural habitat.",,,,,,,,,,,,,,,,
TRUE,"A cooler with a built-in LED light that turns on when the lid is opened, illuminating the contents inside.",,,,,,,,,,,,,,,,
FALSE,"A full-body costume that covers the wearer completely, including their head.",,,,,,,,,,,,,,,,
TRUE,A water bottle with a built-in filter.,,,,,,,,,,,,,,,,
TRUE,"Echo Valley Meats is a retail, online gift catalog and catering company and is quickly becoming a household name. Premium meats, smoked hams, and award winning sausages make personal and corporate gift giving easy and full of flavor.",,,,,,,,,,,,,,,,
TRUE,"The Mission Belt is a no-holes belt that instead adjusts using an innovated ratchet system. Because it's not restricted by scarce holes, it can be fitted to any size. The ratchet's teeth are spaced mere fourths of an inch apart. Mission Belt is also about the social mission: every belt contributes a dollar towards fighting global hunger.",,,,,,,,,,,,,,,,
FALSE,A device that converts the energy from walking into electricity to charge your devices on the go.,,,,,,,,,,,,,,,,
TRUE,"Shell Bobbers are just that: fishing bobbers made of used shotgun shells. If you have a hunting and fishing enthusiast in your life, you can rest assured that they will appreciate the idea from  the moment they see it. These Shell Bobbers are no novelty item, they are fully-functional bobbers that float upright, well above the water line, and remain visible and easy to spot. Use Shell Bobbers in any fishing situation and enjoy the fact that you're giving a second life to scrap shot gun shells that would otherwise be cluttering the landfill.",,,,,,,,,,,,,,,,
TRUE,"Individually packaged cupcake-in-a-jar, sold in retail and shipping nationwide.",,,,,,,,,,,,,,,,
FALSE,A squirrel-proof birdfeeder featuring a remote control that allows the user to administer a static shock to any squirrel that happens to be on the feeder.,,,,,,,,,,,,,,,,
TRUE,A subscription service that delivering an assortment of coffees for at-home brewing.,,,,,,,,,,,,,,,,
TRUE,A fully-seasoned gumbo base in the form of a brick.,,,,,,,,,,,,,,,,
FALSE,Premium kitchen products made from regular grained and figured wood.,,,,,,,,,,,,,,,,
TRUE,Spacious photobooths filled with props.,,,,,,,,,,,,,,,,
FALSE,Baby's Badass Burgers serves gourmet burgers from its bright pink mobile food truck.,,,,,,,,,,,,,,,,
TRUE,"A balance bike for kids to work up to riding on two-wheeled bicycles. Rather than using training wheels, KaZam forgoes the pedals and encourages kids to safely practice their balance.",,,,,,,,,,,,,,,,
FALSE,A motorcycle-themed full-length action film.,,,,,,,,,,,,,,,,
FALSE,A door-to-door luggage shipping service for travelers to avoid the hassle of taking luggage through the airport.,,,,,,,,,,,,,,,,
TRUE,Custom-built heirloom gaming furniture.,,,,,,,,,,,,,,,,
TRUE,"Stella Valle produces a line of jewelry that embodies inner strength and self-reliance. Founded by two sisters who are veterans of the US military, their designs evoke their military background and unique aesthetic sensibilities. Balancing masculine and feminine design elements and details, this jewelry is designed for brave women who set the bar high and persist through adversity.",,,,,,,,,,,,,,,,
FALSE,"Authentic-tasting, traditional scones made in America.",,,,,,,,,,,,,,,,
FALSE,An invite-only dating site for single professionals.,,,,,,,,,,,,,,,,
TRUE,A mobile app that connects users to professional translators on demand.,,,,,,,,,,,,,,,,
TRUE,A chain of grilled cheese and tomato soup shops.,,,,,,,,,,,,,,,,
TRUE,"Now doing business as Ry's Ruffery, this business started after Ryan's family adopted a rescue beagle. The family was taken aback by the poor quality of some of the dog treats on the market, and decided to make a better dog biscuit. Ryan, then 10 years old, took initiative to talk to veterinarians and test new flavor combinations, experimenting with his mom's help. Once they settled on a recipe, Ryan took to the streets to sell his doggie treats from his bike. Today, Ry's Ruffery offers three different flavors: cheddar, peanut butter, and pumpkin apple. These healthy dog treats are sold online and in pet stores across the country.",,,,,,,,,,,,,,,,
FALSE,"What is this? We're hearing about a tight-knit family, a closely guarded secret, and mouth-watering pickles. It sounds like a motion picture but it's Lynnae's Gourmet Pickles, and although the recipe remains a secret, you can buy the finished product and enjoy the taste for yourself. The recipe comes from Lynnae's Great Grandma Toots, a.k.a. Mrs. Pickles. Her recipe has united the family's women for over a century. Now Lynnae, together with her sister-in-law Aly, is bringing its goodness to the masses.",,,,,,,,,,,,,,,,
FALSE,A social network for the medical community.,,,,,,,,,,,,,,,,
TRUE,Cake balls produced for the mass market and retailing at convenience stores.,,,,,,,,,,,,,,,,
TRUE,An easy-to-use mobile app that allows you to take a photograph from your phone and instantly send it as a real printed postcard.,,,,,,,,,,,,,,,,
TRUE,"Breathometer makes breathalyzer tests accessible for consumers by leveraging users' smartphones. Easily plugging into any smartphone's audio jack, Breathometer makes it easier than ever to gauge your blood alcohol content. The user simply exhales onto the sensor and the results are displayed onscreen, much like using any other breathalyzer. Breathometer's smartphone app also estimates how long until a user may be able to drive safely again, and can even call you a local cab if needed.",,,,,,,,,,,,,,,,
TRUE,"Kane & Couture sells trendy yet affordable accessories for stylish pups. For stylish dog lovers, Kane & Couture offers doggie apparel, harnesses, collars, leashes, and carriers in a range of styles, from urban-chic, to sporty, to glam. Even their doggie poopie bag holder is attractively styled in gray denim and decked with shiny studs! The company runs three brands: The Kane & Couture Signature line, Bubba Dog Collection, and Imperial Pup.",,,,,,,,,,,,,,,,
FALSE,"There's no better way to say it: spread it, mix it, shake it, stir it! Mango Mango are fruit preserves that are wildly popular among the crowds that attend the parties organized by these three go-getter founders. Finally they decided to make the preserves for retail sale, appropriately described as a party in a jar. There are over 100 ways to use Mango Mango to liven up your menu. Spread it on bread or crackers, mix with cream cheese to make a dip, combine with vinegar and olive oil to make vinaigrettes and marinades, or invent your own!",,,,,,,,,,,,,,,,
FALSE,Gag medals for when men complete household chores.,,,,,,,,,,,,,,,,
FALSE,"""Magic"" aromatherapy sprays for kids to help alleviate common fears and anxieties.",,,,,,,,,,,,,,,,
FALSE,"A modern version of the chef's hat, which keeps the smell of food out of hair.",,,,,,,,,,,,,,,,
TRUE,"Ramen noodles just got an upgrade. If you love ramen but hate fussing with kettles or pots of boiling water, Rapid Ramen Cooker is for you. This sturdy, microwave-safe plastic tray holds a block of ramen and provides an indicator line showing how much water to be added. From there, you just pop it in the microwave and enjoy your new favorite ramen preparation.",,,,,,,,,,,,,,,,
TRUE,"The Freeloader is the ultimate child carrier for active families, designed to be ultra-light, super portable and extra safe and strong. This child carrier supports more weight than any other, and effectively distributes it through its padded and contoured shoulder straps and padded waist strap. The Freeloader is also designed with safety in mind, featuring a five-point harness system to hold your child in place.",,,,,,,,,,,,,,,,
TRUE,"Surf-style comes to skateboards with Hamboards. Founded by a family of lifeguards in southern California, Hamboards makes skateboards that are like surfing on land. The company makes several models of longboards and skateboards, with names like Pinger, Pescadito, and the Biscuit.",,,,,,,,,,,,,,,,
FALSE,"Scan is a QR reader and barcode scanner app for your smartphone. Join all the other smart consumers and use Scan at retailers to compare product prices in a flash. Businesses and individuals can also create QR codes for free at Scan's website, and use their to promote their companies on business cards and social media. The Scan app is available for iPhone, iPad, Android and Windows phones.",,,,,,,,,,,,,,,,
TRUE,"ScreenMend is an easy and cost-effective way to patch window screens. By applying just a bit of heat over the patch, with any blow dryer you have around the house, ScreenMend patches become securely affixed to the screen. This clever invention came from a serendipitous discovery that a father and daughter stumbled upon as they did work around the house.",,,,,,,,,,,,,,,,
FALSE,"Sunday Night Slow Jams is a radio show mixing slow jams from past and present. Nationally syndicated across 80 cities, Sunday Night Slow Jams has an audience of over 1 million listeners. The show also has a live concert tour every year during February, appropriately so, given it's the month of Valentine's Day.",,,,,,,,,,,,,,,,
TRUE,"RuffleButts and RuggedButts are collections of adorably styled and super soft children's apparel and accessories. This husband and wife founding team were inspired by their own parenthood and their desire for affordable, stylish and well made clothing and accessories for toddlers.",,,,,,,,,,,,,,,,
TRUE,"Garden Pops, the Veggie Mama flagship product, are all natural, frozen vegetable and fruit treats.",,,,,,,,,,,,,,,,
FALSE,"Rent-A-Goat helps businesses and homeowners landscape their properties in a safe and eco-friendly way, at a competitive price, by clearing their land with goats.",,,,,,,,,,,,,,,,
FALSE,"The BareEASE Prep Kit takes the pain out of hair removal in the bikini line area. Designed by Dr. Edna Ma, this kit includes a 4% lidocaine-based numbing lotion and a latex-panty that prevents the lotion from rubbing off, maximizing absorption and its numbing effect. In just 15-20 minutes, the lotion does its work and you can experience the most comfortable bikini line hair removal that there can be.",,,,,,,,,,,,,,,,
TRUE,"Be a superhero around the house with FiberFix. This super-adhesive tape is doctored with a water-activated resin that once cured, makes the bond 100 times stronger than duct tape. Fix leaky pipes, broken tool handles, and any number of other broken household items and make them sturdy as new. FiberFix saves you the expense of replacing these items and your valuable time.",,,,,,,,,,,,,,,,
TRUE,"Ten Thirty One Productions is an entertainment company that creates, owns, and produces live attractions in the horror genre.",,,,,,,,,,,,,,,,
TRUE,Alternative financing solutions for small businesses.,,,,,,,,,,,,,,,,
FALSE,"Elephant Chat encourages couples to address the ""elephant in the room"". This plush toy elephant helps couples start conversations about divisive issues that they might otherwise struggle to bring up. How do you use Elephant Chat? Just place the toy elephant someplace visible in your home whenever there's something you and your partner need to discuss. Every couple is different, and while Elephant Chat might not be right for everyone, the married duo behind this product have brought it to market because of the positive results that they themselves have experienced in their communications.",,,,,,,,,,,,,,,,
FALSE,"An all-electric, jet-propelled body board.",,,,,,,,,,,,,,,,
TRUE,Tree T Pee is an agricultural water conservation and frost protection device.,,,,,,,,,,,,,,,,
TRUE,"180CUP is the party time MVP. Just a normal plastic drinking cup at first glance, the 180CUP transforms into a shot glass with a quick flip. With its clever design and bright colors, 180CUP adds to the festive atmosphere while it serves as a drinking cup, shot glass, measuring cup, ash tray, and any other uses your party guests can discover. 180CUP is perfect for picnics, tailgates, and all your other social gatherings.",,,,,,,,,,,,,,,,
TRUE,"Better Life produces all-natural cleaning products, including all-purpose cleaners, specialty surface cleaners, soaps and lotions. The company's mission is to make the safest and most effective home cleaning products on the market. Better Life cleaning products are cruelty-free and made in the USA.",,,,,,,,,,,,,,,,
FALSE,Bread pudding reimagined in 108 flavors.,,,,,,,,,,,,,,,,
FALSE,Color spray made with ingredients safe for use on dogs.,,,,,,,,,,,,,,,,
FALSE,"Bellybuds is a sound system for your baby, in utero! Babies begin to develop hearing and memories well before birth, but most sounds are muffled, with the exception of the mother's voice. Bellybuds changes that by providing a means for audio stimulation to reach them through the womb. The specially-designed speakers adhere to the belly and safely play music, messages from family, or other soothing sounds of your choosing.",,,,,,,,,,,,,,,,
TRUE,"Paparazzi Proposals helps plan and execute memorable marriage proposals and capture the memories for posterity. Whether it's something simple and intimate or a big production, Paparazzi Proposals can help make it happen and ensure you have pictures and video to remember the moment.",,,,,,,,,,,,,,,,
FALSE,"Doorbot (now Ring), is a Wi-Fi enabled video doorbell that allows the owner to communicate with visitors and grant access remotely using their smartphone or tablet.",,,,,,,,,,,,,,,,
FALSE,"It's slaw, it's salsa--no! It's Slawsa! Meet this bold new condiment category that blends the best elements of slaw and salsa to produce a healthy and flavorful snack topping. Use it in place of relish on burgers and hot dogs, slather it on sandwiches, or dip your tortilla chips in it, there are limitless ways to enjoy the deliciousness. Slawsa comes in a variety of flavors with a salsa base, but they all have the cabbage backbone that underlies any slaw worth its name.",,,,,,,,,,,,,,,,
FALSE,"An iPhone app and online marketplace that enables users to turn their pitches into products they can buy, sell and share.",,,,,,,,,,,,,,,,
FALSE,"Surprise Ride is a one-of-a-kind subscription service for activities. Each month, Surprise Ride delivers a box full of supplies, lessons and instructions for activities following a theme. From penguins to volcanoes, ancient Egypt, gardening, and space, Surprise Ride is full of ways to nurture and encourage creativity and learning in a playful spirit.",,,,,,,,,,,,,,,,
FALSE,"Order unique chocolate bars online, customized down to the very last detail. The Chocomize business is to deliver on-demand custom chocolates direct to the consumer. You can select the type of base chocolate and choose from a wide variety of toppings with up to 300 million possible combinations.  Chocomize also caters to corporate customers looking for unique promotional gifts, as Chocomize's chocolate bars and packaging can also be customized to include their company logo.",,,,,,,,,,,,,,,,
TRUE,"Yubo is a better and brighter lunchbox that kids and their parents can appreciate. Children love the interchangeable inserts that go into the front panel, which allows them to change the look of the lunchbox when they please. Parents love that they don't have to buy another lunchbox again! Designed for maximum style and cleanliness, Yubo is also easy to wipe down or even toss in the dishwasher.",,,,,,,,,,,,,,,,
TRUE,"Pursecase is an ultra-minimalist purse, built to have room for just your phone and precious few other essentials, such as a bit of cash, your ID and a credit card or two. Not to skimp on style, Pursecase has an attractive chain handle to complete the purse-like look and feel.",,,,,,,,,,,,,,,,
TRUE,"Grace and Lace makes fashion-forward frilly socks, scarves and hair accessories. The company grew off the surge in popularity of the layered look of frilly socks peeking out of boots. Grace and Lace also helps the less fortunate. The company puts a portion of every sales into building orphanages in India.",,,,,,,,,,,,,,,,
FALSE,Virtuix Omni is a virtual reality platform based on an omni-directional treadmill that allows the user to move in any direction within their video game. The ability to move naturally within their virtual worlds gives gamers the most thoroughly immersive experience available today.,,,,,,,,,,,,,,,,
FALSE,"A line of cool accessories that can easily attach to any kind of safety helmet, transforming it from a chore into a fashion statement.",,,,,,,,,,,,,,,,
FALSE,"SpiritHoods are unique accessories that work as a combination of hat, gloves, and scarf. Make in California out of premium faux fur, each SpiritHood is modeled after a specific animal, and 10% of net profits are donated towards the conservation of endangered species.",,,,,,,,,,,,,,,,
TRUE,"Bubba's Q BBQ has a proprietary way to prepare and package fully cooked, de-boned baby back ribs. They package these for sale, ready to enjoy after a quick blast in the microwave. Consumers can now enjoy these fully cooked pork ribs with a knife and fork in their own kitchen, as speedily as anything else they might throw in the microwave. The bones are hand-removed before being packaged ensuring the highest quality experience. For extra flavor, you can also opt to cook these boneless ribs in the oven or on the grill. Since they are pre-cooked, they will heat up quickly, in about three to five minutes for each side.",,,,,,,,,,,,,,,,
FALSE,"Cashmere Hair produces premium-quality hair extensions with a unique clip-in system that makes them easier and safer to apply and remove than any other. Based in Beverly Hills,  Cashmere Hair's extensions are made of 100% human hair and available in a range of colors to suit any woman in need. Cashmere Hair extensions can also be cut and textured to customize the look and blend in expertly with any woman's natural hair.",,,,,,,,,,,,,,,,
FALSE,Christmas lights strands magnetized at each bulb for easy setup.,,,,,,,,,,,,,,,,
TRUE,"Tipsy Elves is a witty brand of clothing that produces items with humorous and irreverent designs. The company started out focused on producing their own modern twist on the ugly sweater. Since receiving their Shark Tank investment from Robert, the Tipsy Elves has expanded outside of holiday-themed clothing but they remain committed to producing high-quality, apparel for men and women, always with a tongue-in-cheek tone. Great for all kinds of gatherings, from ugly sweater parties, to spirit week, to 4th of July cookouts, to St. Patrick's Day pub crawls, and more. Tipsy Elves also produces collegiate clothing, and has partnered with a number of colleges and universities to produce branded sweaters in their school colors.",,,,,,,,,,,,,,,,
TRUE,"A Christmas tree topper in the form of a Star of David, for interfaith families to fuse their holidays and celebrate together.",,,,,,,,,,,,,,,,
FALSE,Eyebloc is an adhesive-free cover for built-in laptop cameras.,,,,,,,,,,,,,,,,
FALSE,"Bounce Boot Camp uses inflatable bounce houses as fitness equipment. NFL player Thomas Hill runs Bounce Boot Camp, bringing his athletic expertise and passion for fitness to help people get fit in an original and fun way.",,,,,,,,,,,,,,,,
TRUE,An online service from which you can inexpensively order prints of your photos straight from your phone.,,,,,,,,,,,,,,,,
TRUE,"Wall Rx is a powerful yet simple way to repair walls. Retailing for less than $10, Wall Rx provides wall repair kits that can fix damage up to 4 inches wide. Easier than regular spackle or plaster, and certainly less expensive than hiring a professional, Wall Rx kits include everything you need to make it look like nothing happened there at all. The kits bring a clear disc, a frame with a special drywall compound, and sandpaper. You won't need to spend money on any other tools to get your wall looking like new again.",,,,,,,,,,,,,,,,
FALSE,"Harvested from the nutrient-rich shores of the Arctic wilderness, Alaska Glacial Mud products offer moisturizing, anti-aging, and protective properties for your skin. Run by an energetic and self-reliant commercial fisherman by the name of Lauren Padawer, Alaska Glacial Mud is a premium line of all-natural personal care products enriched with organic and wild botanical extracts from the Copper River, and embodies the natural beauty and spirit of the Pacific Northwest.",,,,,,,,,,,,,,,,
TRUE,"invisiPlug makes powerstrips that seamlessly blend into your hardwood floors. How do they pass unnoticed when most power strips are eyesores? Simple, invisiPlug is the chameleon among power strips. They are literally made in wood-colored finishes such as Medium Cherry and Dark Oak, so they match the color and textures of your actual floor.",,,,,,,,,,,,,,,,
FALSE,A company that books balloon artists to entertain children at dining establishments.,,,,,,,,,,,,,,,,
TRUE,"School lockers can be a mess, can't they? It's not anyone's fault, because it's just plain difficult to keep things orderly when there's no structure. This father-daughter team devised a solution. LockerBones are shelves for your locker. This unique shelving system has pieces that fit together like a puzzle, making it easy to assemble and resulting in sturdy shelves that keep all your school essentials in their place.",,,,,,,,,,,,,,,,
TRUE,Quality baby moccassins.,,,,,,,,,,,,,,,,
